data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
movement,1,test1.txt,sta1,"0,5,0",,,,,,
movement,2,test2.txt,sta2,"0,-15,0",,,,,,
movement,3,test3.txt,sta3,"10,10,0",,,,,,
movement,4,test4.txt,sta4,"80,10,0",,,,,,
ping,1,test1.txt,,,sta1,sta2,1,0,100,0
ping,1,test1.txt,,,sta1,sta3,1,0,100,0
ping,1,test1.txt,,,sta1,sta4,1,0,100,0
ping,1,test1.txt,,,sta1,ap1,1,1,0,0.096
ping,1,test1.txt,,,sta1,ap2,1,1,0,0.059
ping,1,test1.txt,,,sta2,sta1,1,0,100,0
ping,1,test1.txt,,,sta2,sta3,1,0,100,0
ping,1,test1.txt,,,sta2,sta4,1,0,100,0
ping,1,test1.txt,,,sta2,ap1,1,1,0,0.123
ping,1,test1.txt,,,sta2,ap2,1,1,0,0.058
