data_type,movement_number,test_file,node_name,position,src,dst,tx,rx,loss_pct,avg_rtt_ms
ping,0,timeframe0.txt,,,ap2,sta4,1.0,0.0,100.0,0.0
ping,0,timeframe0.txt,,,ap2,ap1,1.0,1.0,0.0,0.081
ping,1,timeframe1.txt,,,sta1,sta2,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta1,sta3,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta1,sta4,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta1,ap1,1.0,1.0,0.0,0.09
ping,1,timeframe1.txt,,,sta1,ap2,1.0,1.0,0.0,0.028
ping,1,timeframe1.txt,,,sta2,sta1,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta2,sta3,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta2,sta4,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta2,ap1,1.0,1.0,0.0,0.09
ping,1,timeframe1.txt,,,sta2,ap2,1.0,1.0,0.0,0.032
ping,1,timeframe1.txt,,,sta3,sta1,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta3,sta2,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta3,sta4,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta3,ap1,1.0,1.0,0.0,0.039
ping,1,timeframe1.txt,,,sta3,ap2,1.0,1.0,0.0,0.038
ping,1,timeframe1.txt,,,sta4,sta1,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta4,sta2,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta4,sta3,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,sta4,ap1,1.0,1.0,0.0,0.044
ping,1,timeframe1.txt,,,sta4,ap2,1.0,1.0,0.0,0.034
ping,1,timeframe1.txt,,,ap1,sta1,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap1,sta2,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap1,sta3,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap1,sta4,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap1,ap2,1.0,1.0,0.0,0.088
ping,1,timeframe1.txt,,,ap2,sta1,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap2,sta2,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap2,sta3,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap2,sta4,1.0,0.0,100.0,0.0
ping,1,timeframe1.txt,,,ap2,ap1,1.0,1.0,0.0,0.064
ping,2,timeframe2.txt,,,sta1,sta2,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta1,sta3,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta1,sta4,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta1,ap1,1.0,1.0,0.0,0.062
ping,2,timeframe2.txt,,,sta1,ap2,1.0,1.0,0.0,0.023
ping,2,timeframe2.txt,,,sta2,sta1,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta2,sta3,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta2,sta4,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta2,ap1,1.0,1.0,0.0,0.074
ping,2,timeframe2.txt,,,sta2,ap2,1.0,1.0,0.0,0.035
ping,2,timeframe2.txt,,,sta3,sta1,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta3,sta2,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta3,sta4,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta3,ap1,1.0,1.0,0.0,0.048
ping,2,timeframe2.txt,,,sta3,ap2,1.0,1.0,0.0,0.067
ping,2,timeframe2.txt,,,sta4,sta1,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta4,sta2,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta4,sta3,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,sta4,ap1,1.0,1.0,0.0,0.082
ping,2,timeframe2.txt,,,sta4,ap2,1.0,1.0,0.0,0.047
ping,2,timeframe2.txt,,,ap1,sta1,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap1,sta2,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap1,sta3,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap1,sta4,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap1,ap2,1.0,1.0,0.0,0.16
ping,2,timeframe2.txt,,,ap2,sta1,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap2,sta2,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap2,sta3,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap2,sta4,1.0,0.0,100.0,0.0
ping,2,timeframe2.txt,,,ap2,ap1,1.0,1.0,0.0,0.127
